"ameslist.SalePrice" "ameslist.YearBuilt" "ameslist.YearRemodAdd" "ameslist.BsmtFinSF1" "ameslist.BsmtUnfSF" "ameslist.BsmtFinSF2" "ameslist.TotalBsmtSF" "ameslist.X1stFlrSF" "ameslist.X2ndFlrSF" "ameslist.LowQualFinSF" "ameslist.GrLivArea" "ameslist.FullBath"
"1" 208500 2003 2003 706 150 0 856 856 854 0 1710 2
"2" 181500 1976 1976 978 284 0 1262 1262 0 0 1262 2
"3" 223500 2001 2002 486 434 0 920 920 866 0 1786 2
"4" 140000 1915 1970 216 540 0 756 961 756 0 1717 1
"5" 250000 2000 2000 655 490 0 1145 1145 1053 0 2198 2
"6" 143000 1993 1995 732 64 0 796 796 566 0 1362 1
"7" 307000 2004 2005 1369 317 0 1686 1694 0 0 1694 2
"8" 200000 1973 1973 859 216 32 1107 1107 983 0 2090 2
"9" 129900 1931 1950 0 952 0 952 1022 752 0 1774 2
"10" 118000 1939 1950 851 140 0 991 1077 0 0 1077 1
"11" 129500 1965 1965 906 134 0 1040 1040 0 0 1040 1
"12" 345000 2005 2006 998 177 0 1175 1182 1142 0 2324 3
"13" 144000 1962 1962 737 175 0 912 912 0 0 912 1
"14" 279500 2006 2007 0 1494 0 1494 1494 0 0 1494 2
"15" 157000 1960 1960 733 520 0 1253 1253 0 0 1253 1
"16" 132000 1929 2001 0 832 0 832 854 0 0 854 1
"17" 149000 1970 1970 578 426 0 1004 1004 0 0 1004 1
"18" 90000 1967 1967 0 0 0 0 1296 0 0 1296 2
"19" 159000 2004 2004 646 468 0 1114 1114 0 0 1114 1
"20" 139000 1958 1965 504 525 0 1029 1339 0 0 1339 1
"21" 325300 2005 2006 0 1158 0 1158 1158 1218 0 2376 3
"22" 139400 1930 1950 0 637 0 637 1108 0 0 1108 1
"23" 230000 2002 2002 0 1777 0 1777 1795 0 0 1795 2
"24" 129900 1976 1976 840 200 0 1040 1060 0 0 1060 1
"25" 154000 1968 2001 188 204 668 1060 1060 0 0 1060 1
"26" 256300 2007 2007 0 1566 0 1566 1600 0 0 1600 2
"27" 134800 1951 2000 234 180 486 900 900 0 0 900 1
"28" 306000 2007 2008 1218 486 0 1704 1704 0 0 1704 2
"29" 207500 1957 1997 1277 207 0 1484 1600 0 0 1600 1
"30" 68500 1927 1950 0 520 0 520 520 0 0 520 1
"31" 40000 1920 1950 0 649 0 649 649 668 0 1317 1
"32" 149350 1966 2006 0 1228 0 1228 1228 0 0 1228 1
"33" 179900 2007 2007 0 1234 0 1234 1234 0 0 1234 2
"34" 165500 1959 1959 1018 380 0 1398 1700 0 0 1700 1
"35" 277500 2005 2005 1153 408 0 1561 1561 0 0 1561 2
"36" 309000 2004 2005 0 1117 0 1117 1132 1320 0 2452 3
"37" 145000 1994 1995 0 1097 0 1097 1097 0 0 1097 1
"38" 153000 1954 1990 1213 84 0 1297 1297 0 0 1297 1
"39" 109000 1953 2007 731 326 0 1057 1057 0 0 1057 1
"40" 82000 1955 1955 0 0 0 0 1152 0 0 1152 2
"41" 160000 1965 1965 643 445 0 1088 1324 0 0 1324 2
"42" 170000 1959 1959 967 383 0 1350 1328 0 0 1328 1
"43" 144000 1983 1983 747 0 93 840 884 0 0 884 1
"44" 130250 1975 1980 280 167 491 938 938 0 0 938 1
"45" 141000 1959 1959 179 465 506 1150 1150 0 0 1150 1
"46" 319900 2005 2005 456 1296 0 1752 1752 0 0 1752 2
"47" 239686 2003 2003 1351 83 0 1434 1518 631 0 2149 1
"48" 249700 2006 2006 24 1632 0 1656 1656 0 0 1656 2
"49" 113000 1920 2008 0 736 0 736 736 716 0 1452 2
"50" 127000 1966 1966 763 192 0 955 955 0 0 955 1
"51" 177000 1997 1997 182 612 0 794 794 676 0 1470 2
"52" 114500 1934 1950 0 816 0 816 816 0 360 1176 1
"53" 110000 1963 1963 104 0 712 816 816 0 0 816 1
"54" 385000 1981 1987 1810 32 0 1842 1842 0 0 1842 0
"55" 130000 1955 1955 384 0 0 384 1360 0 0 1360 1
"56" 180500 1964 1964 490 935 0 1425 1425 0 0 1425 2
"57" 172500 1999 2000 649 321 0 970 983 756 0 1739 2
"58" 196500 2004 2004 0 860 0 860 860 860 0 1720 2
"59" 438780 2006 2006 0 1410 0 1410 1426 1519 0 2945 3
"60" 124900 1972 1972 632 148 0 780 780 0 0 780 1
"61" 158000 2004 2004 941 217 0 1158 1158 0 0 1158 1
"62" 101000 1920 1996 0 530 0 530 581 530 0 1111 1
"63" 202500 2006 2006 24 1346 0 1370 1370 0 0 1370 2
"64" 140000 1921 1950 0 576 0 576 902 808 0 1710 2
"65" 219500 1997 1998 739 318 0 1057 1057 977 0 2034 2
"66" 317000 2004 2005 0 1143 0 1143 1143 1330 0 2473 2
"67" 180000 1970 1989 912 1035 0 1947 2207 0 0 2207 2
"68" 226000 2003 2003 1013 440 0 1453 1479 0 0 1479 2
"69" 80000 1945 1950 0 747 0 747 747 0 0 747 1
"70" 225000 1953 1953 603 701 0 1304 1304 983 0 2287 2
"71" 244000 1973 1973 1880 343 0 2223 2223 0 0 2223 2
"72" 129500 1982 2006 565 280 0 845 845 0 0 845 1
"73" 185000 1998 1998 0 832 0 832 885 833 0 1718 2
"74" 144900 1954 2003 320 404 362 1086 1086 0 0 1086 1
"75" 107400 1915 1950 0 840 0 840 840 765 0 1605 2
"76" 91000 1973 1973 462 0 0 462 526 462 0 988 1
"77" 135750 1956 1956 228 724 0 952 952 0 0 952 1
"78" 127000 1948 2001 336 295 41 672 1072 213 0 1285 1
